id,content,metadata,embedding
1," Detailed Rules, Processes, and Guidance
---------------------------------------


View the terms, rules, and operating procedures for New England’s wholesale electricity markets and power system, as well as for ISO New England’s internal operations as the Regional Transmission Organization.



[### Transmission, Markets, and Services Tariff (ISO Tariff)


The ISO Tariff stipulates the rates, terms, and conditions for transmission, market, and other services provided by ISO New England](https://www.iso-ne.com/participate/rules-procedures/tariff)
[### Manuals


Procedures for market participant responsibilities related to the region’s wholesale electricity markets and power system](https://www.iso-ne.com/participate/rules-procedures/manuals)
[### ISO Operating Procedures


Procedures that outline steps the ISO takes to control and manage the high\-voltage power system in the six\-state New England area](https://www.iso-ne.com/participate/rules-procedures/operating-procedures)
[### System Operating Procedures


Procedures that detail the ISO’s day\-to\-day operation of New England’s power system](https://www.iso-ne.com/participate/rules-procedures/system-operating-procedures)
[### Master/Local Control Center Procedures


Procedures that establish coordinated operations between the ISO’s master control center and local control centers](https://www.iso-ne.com/participate/rules-procedures/master-lcc-procedures)
[### Generator and Non\-Generator VAR Capability


Documents that outline procedures for maintaining desired and/or reliable voltage and reactive capabilities](https://www.iso-ne.com/participate/rules-procedures/generator-nongenerator-var-capability)
[### Planning Procedures


Requirements related to regional transmission planning, including reliability standards, pooled transmission facility cost review, and notice of intent to change facilities](https://www.iso-ne.com/participate/rules-procedures/planning-procedures)
[### NERC and NPCC Compliance


Guidance for market participants on compliance with reliability standards set by the North American Electric Reliability Corporation (NERC) and Northeast Power Coordinating Council (NPCC)](http://www.nerc.com/Pages/default.aspx)


","{""title"": ""Introductory Text"", ""section"": ""Rules and Procedures"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures""}",[1]
2," Access requirements related to [regional transmission planning](https://www.iso-ne.com/system-planning/transmission-planning) in New England, such as:


* Reliability standards
* Guidance on the cost review of changes to pool transmission facilities (PTFs) that are eligible for regional cost support, pursuant to the [ISO Tariff](https://www.iso-ne.com/participate/rules-procedures/tariff)
* Procedures for intent to construct or change facilities


","{""title"": ""Introductory Text"", ""section"": ""Planning Procedures"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/planning-procedures""}",[2]
3," ISO New England issues manuals outlining the procedures for various market participant responsibilities related to the region’s wholesale electricity markets and power system, consistent with associated [ISO Tariff](https://www.iso-ne.com/participate/rules-procedures/tariff) provisions.


To access previous versions of these manuals, [visit the Archived Manuals page](https://www.iso-ne.com/participate/rules-procedures/manuals/archive).


","{""title"": ""Introductory Text"", ""section"": ""Manuals"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/manuals""}",[3]
4," Access the procedures that guide the relationship and coordination of operations between ISO New England’s master control center (MCC) and the separate local control centers (LCCs) in the region.   



### LCCsAbout MCCs and LCCs


The ISO is responsible for operating all transmission facilities rated 115 kV and above. New England has seven LCCs, which are run by transmission owners and are responsible for operating transmission facilities rated 69 kV and above, with certain exceptions. LCC responsibilities include:


* Reactive dispatch, with ISO New England providing area oversight
* Implementing emergency procedures at the direction of ISO operations personnel
* Actual switching of transmission elements
* Power\-system monitoring and real\-time contingency analysis in parallel with the ISO’s MCC



","{""title"": ""Introductory Text"", ""section"": ""Master and Local Control Center Procedures"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/master-lcc-procedures""}",[4]
5," Created and authorized by the Federal Energy Regulatory Commission (FERC), ISO New England operates under the *ISO New England Inc. Transmission, Markets, and Services Tariff*. Known as the ISO Tariff, this document details: the rates, terms, and conditions for transmission, market, and other services provided by ISO New England; the rights and responsibilities of the ISO and market participants; and various schedules that define the revenues the ISO collects for its operations and those of the New England States Committee on Electricity (NESCOE).    



The ISO Tariff, in conjunction with the ISO’s [Transmission Operating Agreements](https://www.iso-ne.com/participate/governing-agreements/transmission-operating-agreements), also helps satisfy FERC requirements for the ISO’s functioning as a [Regional Transmission Organization (RTO)](https://www.iso-ne.com/about/what-we-do/industry-standards-structure-and-relationships).


#### Section I–General Terms and Conditions


This section includes:


* [General Terms and Conditions](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_1/sect_i.pdf) (07/09/2024\)—defined terms and certain rights, privileges, and obligations of all parties, and actions they may or must take under the ISO Tariff
* [Exhibit IA—The Financial Assurance Policy](https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ia.pdf) (08/27/2023\)
* [Exhibit IB](https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ib.pdf) (08/10/2017\)—reserved for future use
* [Exhibit IC](https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ic.pdf) (08/10/2017\)—reserved for future use
* [Exhibit ID—The Billing Policy](https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_id.pdf) (02/20/2023\)


#### Section II—Open Access Transmission Tariff (OATT)


[Visit the OATT page](https://www.iso-ne.com/participate/rules-procedures/tariff/oatt). The OATT:


* Helps ensure that all transmission owners and transmission customers have fair and open access to transmission service in New England
* Details the rights and responsibilities of transmission owners and transmission customers, as well as the procedures they must follow and the fees transmission customers must pay to access the transmission system
* Sets out the transmission system planning process for the region
* Sets out the cost recovery and allocation mechanisms for transmission and ancillary services in the region


#### Section III—Market Rule 1


[Visit the Market Rule 1 page](https://www.iso-ne.com/participate/rules-procedures/tariff/market-rule-1). Market Rule 1 governs the operation of New England’s wholesale electricity markets. It includes detailed information on pricing, scheduling, offering, bidding, settlement, and other procedures related to the purchase and sale of electricity.


#### Section IV—ISO Funding Mechanisms


This section details how ISO New England collects funds to pay for its functioning.


* [Section IV.A—Recovery of ISO Administrative Expenses](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_4/section_iva.pdf) (01/01/2022\) is known as the Self\-Funding Tariff. It contains rates for the administrative functions of the ISO, including costs for scheduling and administering the movement of power through, out of, or within the balancing authority area; and costs for services the ISO provides to administer the energy and reliability markets. The collection of monies for NESCOE operation is also detailed, because the ISO acts as its billing and collection agent.
* [Section IV.B—Capital Funding Arrangements Tariff](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_4/section_ivb.pdf) (01/01/2014\) describes how the ISO funds capital projects.


### Attachments to the ISO Tariff


* #### [Attachment A—Market Participant Service Agreement:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_a/att_a_mar_part_serv_agree.pdf) (06/17/2013\)


This agreement provides the rights and responsibilities of businesses or organizations that generate, buy, sell, and transport electricity in the New England markets.
* #### [Attachment A\-1:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_a/att_a_1_res.pdf) (06/15/2013\)


This attachment is reserved for future filings.
* #### [Attachment B—Pro Forma ITC Operating Agreement:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_b/attachment_b.pdf) (08/30/2010\)


This attachment is reserved for future filings.
* #### [Attachment D—ISO New England Information Policy:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_d/attachment_d.pdf) (07/26/2024\)


This policy provides the rules and procedures the ISO and stakeholders follow in handling the information collected and created in the administration of New England’s wholesale electricity markets and the operation of the region’s transmission grid. [See the List of Authorized Persons and Authorized Commissions](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_d/list_authorized_persons.pdf) per the Information Policy.
* #### [Attachment E—Service Agreements:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_e/attachment_e.pdf) (06/17/2013\)


This attachment provides forms for service agreements under the ISO Tariff.
* #### [Attachment F—Coordination Agreements:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_f/attach_f.pdf) (05/04/2021\)


These agreements document the ISO’s coordination of operations with operators of neighboring control areas and the terms for pricing emergency energy and security energy. Other available agreements document the relationship among asset owners of the facilities subject to such coordination agreements.


	+ [ISO\-NE/NYISO List of Interconnection Facilities](https://www.iso-ne.com/static-assets/documents/2021/05/isone_nyiso_interconnection_facility.pdf)  
	Joint ISO\-NE/NYISO document listing the ISO\-NE/NYISO Interconnections and description of each of the interties that makes up those interconnections (previously included as a part of the Transmission, Markets, and Services Tariff\-Attachment F).
* #### [Attachment G—Procedure to Protect for the Loss of Phase II Imports:](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_g/attachment_g.pdf) (08/30/2010\)


This procedure is designed to prevent the occurrence of a loss of Phase II contingency applicable when Phase II is operated in the isolated or synchronous mode.


","{""title"": ""Introductory Text"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/tariff""}",[5]
6," Access the various system operating procedures (SOPs) that detail the operation of New England’s power system.


* **Outage scheduling operating procedures** document ISO New England’s processes and procedures when generators and transmission operators report planned and emergency outages. An outage is when a facility or piece of equipment goes offline. Outages may be planned (for example, for anticipated maintenance) or unplanned (for example, due to an unanticipated problem).
* **Real\-time markets operating procedures** document the ISO’s processes and procedures in the operations of its real\-time markets.
* **Control room operating procedures (CROPs)** establish procedures for operation of the power system in real time.


","{""title"": ""Introductory Text"", ""section"": ""System Operating Procedures"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/system-operating-procedures""}",[6]
7," Access the documents that establish criteria, operating practices, responsibilities, and terms for reactive power (or VAR) capacity cost compensation, pursuant to Schedule 2 of [Section II of the ISO Tariff](https://www.iso-ne.com/participate/rules-procedures/tariff/oatt).   



### About VAR Capability


For power to flow continuously and reliably, ISO New England must ensure that voltage on the transmission system is maintained within an acceptable range at all times. Voltage is regulated through reactive power production and consumption, and resources on the grid may be compensated for providing this reactive power capability. ([See the Voltage Support page](https://www.iso-ne.com/markets-operations/markets/voltage-support).) Voltage\-ampere reactive (VAR) is the unit of measurement for reactive power.



","{""title"": ""Introductory Text"", ""section"": ""Generator and Non-Generator VAR Capability"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/generator-nongenerator-var-capability""}",[7]
8," Operating procedures (OPs) outline certain steps the ISO takes to control and manage the high\-voltage power system in the six\-state New England area. This is the ISO’s responsibility as the Regional Transmission Organization designated by the Federal Energy Regulatory Commission.


Please note that the ISO is no longer publishing placeholder documents below for OP appendices or attachments that are confidential, effective July 1, 2016\.



","{""title"": ""Introductory Text"", ""section"": ""ISO Operating Procedures"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/operating-procedures""}",[8]
9," Maintaining Power System Reliability Amid Change
------------------------------------------------


Among [ISO New England’s responsibilities](https://www.iso-ne.com/about/what-we-do) as a Regional Transmission Organization is ensuring that the power system continues to operate reliably as conditions on the grid change. Ensuring the continued reliability of the transmission system requires a thorough review from numerous perspectives identified below, pursuant to Attachment K of the [Open Access Transmission Tariff](https://www.iso-ne.com/participate/rules-procedures/tariff/oatt) (Section II of the ISO Tariff).



[### Reliability Transmission


Reliability Transmission ensures that system reliability criteria set by NERC, NPCC, and ISO New England are met. This includes assessments of transmission system reliability and solutions developed through the Solutions Study process or the competitive transmission process. Materials include study scopes, presentations, reports, responses to written stakeholder comments, and any necessary modeling information](https://www.iso-ne.com/system-planning/transmission-planning/reliability-transmission)
[### Market Efficiency Transmission


Market Efficiency Transmission Upgrades (METUs) are upgrades identified by ISO New England to provide a net reduction in total production cost when the cost to supply system load exceeds the cost of the transmission upgrade. Evaluation criteria include study scopes, presentations, reports, responses to written stakeholder comments, and any necessary modeling information](https://www.iso-ne.com/system-planning/transmission-planning/met)
[### Competitive Transmission


When Needs Assessments reveal a non\-time\-sensitive reliability need, or when Market Efficiency or Public Policy needs are identified, ISO\-NE conducts a Request For Proposal (RFP) process to find competitive solutions to solve these needs](https://www.iso-ne.com/system-planning/transmission-planning/competitive-transmission)
[### Public Policy Transmission


Transmission requirements to meet public policy goals are met through a competitive RFP process. Materials associated with this process include stakeholder input on public policy requirements, study scopes, presentations, reports, responses to written stakeholder comments, and any necessary modeling information](https://www.iso-ne.com/system-planning/transmission-planning/public-policy-transmission)
[### Longer\-Term Transmission Studies


NESCOE\-requested transmission studies performed to identify high\-level concepts of transmission infrastructure that could meet a New England state’s energy policy, mandate, or legal requirement based on state\-identified scenarios and timeframes, which may extend beyond the five\-to\-ten year planning horizon](https://www.iso-ne.com/system-planning/transmission-planning/longer-term-transmission-studies)
[### Proposed Plan Applications


View application forms, approval letters, and other materials related to proposed changes to the New England power system, including proposed new generators, changes to existing generators, transmission upgrades, and elective transmission upgrades](https://www.iso-ne.com/system-planning/transmission-planning/proposed-plan-applications)
[### Transmission Cost Allocation


Transmission Cost Allocation, or deciding whether the region pays for regulated (not merchant) transmission projects, is done through a collaborative and transparent process. Materials related to the cost review of regulated transmission additions, modifications, reconstructions, or replacements of pool transmission facilities that are eligible for regional cost support are available for review](https://www.iso-ne.com/system-planning/transmission-planning/transmission-cost-allocation)
[### Transmission Planning Guides


Transmission Planning Guides include documents outlining the steps taken and assumptions used in the regional transmission system planning process](https://www.iso-ne.com/system-planning/transmission-planning/transmission-planning-guides)
[### Transmission Owner Asset Management Plans


Transmission Owner Asset Management Plans are presentations and reports regarding ongoing and future asset management plans for New England’s Pool Transmission Facilities](https://www.iso-ne.com/system-planning/transmission-planning/transmission-owner-asset-management)


","{""title"": ""Introductory Text"", ""section"": ""Transmission Planning"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/system-planning/transmission-planning""}",[9]
10," Access **archived versions** of manuals issued by ISO New England outlining the procedures for various market participant responsibilities related to the region’s wholesale electricity markets and power system.


To access current versions, [visit the Manuals page](https://www.iso-ne.com/participate/rules-procedures/manuals).


","{""title"": ""Introductory Text"", ""section"": ""Archived Manuals"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/manuals/archive""}",[10]
